GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-analise-credito,tech.jazz.apianalisecredito.infrastructure.repository.entity,CreditAnalysisEntity,9,55,0,0,4,19,3,10,3,10
api-analise-credito,tech.jazz.apianalisecredito.infrastructure.repository.entity,CreditAnalysisEntity.CreditAnalysisEntityBuilder,16,56,0,0,0,1,1,9,1,9
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler.exceptions,CreditAnalysisNotFoundException,0,3,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler.exceptions,ClientIdOutOfFormatException,0,3,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler.exceptions,RequestedAmountInvalidException,0,3,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler.exceptions,ClientNotFoundException,3,0,0,0,1,0,1,0,1,0
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler.exceptions,MonthlyIncomeInvalidException,0,3,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler.exceptions,ClientParamOutOfFormatException,0,3,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler.exceptions,UuidOutOfFormatException,0,3,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.infrastructure.model,CreditAnalysis.CreditAnalysisBuilder,16,56,0,0,0,1,1,9,1,9
api-analise-credito,tech.jazz.apianalisecredito.infrastructure.model,CreditAnalysis,0,28,0,0,0,10,0,2,0,2
api-analise-credito,tech.jazz.apianalisecredito.presentation.dto.request,CreditAnalysisRequest.CreditAnalysisRequestBuilder,8,28,0,0,0,1,1,5,1,5
api-analise-credito,tech.jazz.apianalisecredito.presentation.dto.request,CreditAnalysisRequest,0,52,0,10,0,13,0,7,0,2
api-analise-credito,tech.jazz.apianalisecredito.applicationservice.dto,ClientApiRequest,0,6,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.infrastructure.mapper,AllAnalysisMapperImpl,2,59,1,1,1,20,1,2,0,2
api-analise-credito,tech.jazz.apianalisecredito.infrastructure.mapper,CreditAnalysisMapperImpl,4,105,3,3,2,31,3,3,0,3
api-analise-credito,tech.jazz.apianalisecredito.presentation.dto.response,AllAnalysisResponse,0,27,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.presentation.dto.response,ClientAnalysisResponse,0,27,0,0,0,1,0,1,0,1
api-analise-credito,tech.jazz.apianalisecredito.applicationservice.creditservice,CreditAnalysisService,15,259,0,16,6,59,0,14,0,6
api-analise-credito,tech.jazz.apianalisecredito.presentation.handler,RestExceptionHandler,122,3,0,0,33,1,8,1,8,1
api-analise-credito,tech.jazz.apianalisecredito,ApiAnaliseCreditoApplication,5,3,0,0,2,1,1,1,1,1
api-analise-credito,tech.jazz.apianalisecredito.presentation.controller,CreditController,19,6,0,0,4,1,4,1,4,1
